:START_ID,:END_ID,:TYPE
500,501,contain
500,505,contain
500,509,contain
500,12,contain
17,18,contain
17,22,contain
17,25,contain
17,27,contain
17,29,contain
17,32,contain
17,35,contain
300,301,contain
300,302,contain
300,303,contain
300,304,contain
300,305,contain
281,282,contain
281,283,contain
281,284,contain
281,285,contain
281,286,contain
359,360,contain
359,363,contain
359,378,contain
441,394,contain
441,401,contain
441,411,contain
444,417,contain
443,422,contain
388,433,contain
388,441,contain
388,443,contain
388,444,contain
445,446,contain
445,451,contain
445,465,contain
445,484,contain
445,485,contain
