:ID,page:long,url,name,definition,feature,:LABEL
0,371,https://www.bilibili.com/video/BV1nJ411V7bd?p=149&vd_source=5632e926204c9c83c01af7975745ede3,平衡二叉树的查找,,,point
1,,,平衡二叉树的打印,,,point
2,371,,B-树,在计算机科学中，B树（英语：B-tree）是一种自平衡的树，能够保持数据有序。这种数据结构能够让查找数据、顺序访问、插入数据及删除的动作，都在对数时间内完成。B树，概括来说是一个一般化的二叉查找树（binary search tree），可以拥有多于2个子节点。,与自平衡二叉查找树不同，B树为系统大块数据的读写操作做了优化。B树减少定位记录时所经历的中间过程，从而加快存取速度。B树这种数据结构可以用来描述外部存储。这种数据结构常被应用在数据库和文件系统的实现上。,point
3,373,,B-树的插入,,,point
4,377,,B-树的删除,,,point
5,372,,B-树的查找,,,point
6,,,B-树的打印,,,point
7,379,,B+树,B+树是B树的一种变形形式，B+树上的叶子结点存储关键字以及相应记录的地址，叶子结点以上各层作为索引使用。一棵m阶的B+树定义如下:1、每个结点至多有m个子女；2、除根结点外，每个结点至少有[m/2]个子女，根结点至少有两个子女；3、有k个子女的结点必有k个关键字。,B+树的查找与B树不同，当索引部分某个结点的关键字与所查的关键字相等时，并不停止查找，应继续沿着这个关键字左边的指针向下，一直查到该关键字所在的叶子结点为止,point
8,,,B+树的插入,,,point
9,,,B+树的删除,,,point
10,,,B+树的查找,,,point
11,,,B+树的打印,,,point
13,386,https://www.bilibili.com/video/BV1nJ411V7bd?p=154&vd_source=5632e926204c9c83c01af7975745ede3,散列函数,,,point
14,386,,构造方法,,,point
15,,https://www.bilibili.com/video/BV1nJ411V7bd?p=155&vd_source=5632e926204c9c83c01af7975745ede3,散列表,散列表（Hash table，也叫哈希表），是根据关键码值(Key value)而直接进行访问的数据结构。也就是说，它通过把关键码值映射到表中一个位置来访问记录，以加快查找的速度。这个映射函数叫做散列函数，存放记录的数组叫做散列表。给定表M，存在函数f(key)，对任意给定的关键字值key，代入函数后若能得到包含该关键字的记录在表中的地址，则称表M为哈希（Hash）表，函数f(key)为哈希(Hash) 函数。,哈希表底层数据结构是数组；哈希表不能存储基本数据类型，哈希表存储的元素具有唯一性；哈希表存储元素的过程是先判断要存储的元素与已有元素的hashcode是不是相同。,point
16,389,,冲突处理,,,point
19,399,,排序时间复杂度,,,point
20,399,,排序空间复杂度,,,point
21,399,,稳定性,,,point
23,401,https://www.bilibili.com/video/BV1nJ411V7bd?p=160&vd_source=5632e926204c9c83c01af7975745ede3,直接插入排序,,,point
24,403,https://www.bilibili.com/video/BV1nJ411V7bd?p=160&vd_source=5632e926204c9c83c01af7975745ede3,折半插入排序,,,point
26,404,https://www.bilibili.com/video/BV1nJ411V7bd?p=162&vd_source=5632e926204c9c83c01af7975745ede3,希尔排序,,,point
28,416,https://www.bilibili.com/video/BV1nJ411V7bd?p=171&vd_source=5632e926204c9c83c01af7975745ede3,归并排序,,,point
30,406,https://www.bilibili.com/video/BV1nJ411V7bd?p=163&vd_source=5632e926204c9c83c01af7975745ede3,冒泡排序,冒泡排序（Bubble Sort），是一种计算机科学领域的较简单的排序算法。它重复地走访过要排序的元素列，依次比较两个相邻的元素，如果顺序（如从大到小、首字母从Z到A）错误就把他们交换过来。走访元素的工作是重复地进行，直到没有相邻元素需要交换，也就是说该元素列已经排序完成。这个算法的名字由来是因为越小的元素会经由交换慢慢“浮”到数列的顶端（升序或降序排列），就如同碳酸饮料中二氧化碳的气泡最终会上浮到顶端一样，故名“冒泡排序”。,冒泡排序是稳定排序，空间复杂度低，时间复杂度高。,point
31,407,https://www.bilibili.com/video/BV1nJ411V7bd?p=164&vd_source=5632e926204c9c83c01af7975745ede3,快速排序,快速排序（Quicksort）是对冒泡排序的一种改进，由东尼·霍尔在1960年提出。 快速排序是指通过一趟排序将要排序的数据分割成独立的两部分，其中一部分的所有数据都比另外一部分的所有数据都要小，然后再按此方法对这两部分数据分别进行快速排序。整个排序过程可以递归进行，以此达到整个数据变成有序序列。,快速排序是不稳定排序。,point
33,410,https://www.bilibili.com/video/BV1nJ411V7bd?p=166&vd_source=5632e926204c9c83c01af7975745ede3,简单选择排序,选择排序（Selection sort）是一种简单直观的排序算法。它的工作原理是：第一次从待排序的数据元素中选出最小（或最大）的一个元素，存放在序列的起始位置，然后再从剩余的未排序元素中寻找到最小（大）元素，然后放到已排序的序列的末尾。以此类推，直到全部待排序的数据元素的个数为零。,选择排序是不稳定的排序方法。,point
34,411,https://www.bilibili.com/video/BV1nJ411V7bd?p=169&vd_source=5632e926204c9c83c01af7975745ede3,堆排序,堆排序（英语:Heapsort）是指利用堆这种数据结构所设计的一种排序算法。堆是一个近似完全二叉树的结构，并同时满足堆积的性质：即子结点的键值或索引总是小于（或者大于）它的父节点,树形选择排序，时间复杂度O(nlogn)，空间复杂度O(1),point
36,,https://www.bilibili.com/video/BV1nJ411V7bd?p=172&vd_source=5632e926204c9c83c01af7975745ede3,多关键字基数排序,,,point
37,419,https://www.bilibili.com/video/BV1nJ411V7bd?p=172&vd_source=5632e926204c9c83c01af7975745ede3,链式基数排序,,,point
287,91,,顺序栈,,,point
288,97,,链栈,,,point
289,93,https://www.bilibili.com/video/BV1nJ411V7bd?p=54&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序栈的初始化,,,point
290,98,https://www.bilibili.com/video/BV1nJ411V7bd?p=57&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,链栈的初始化,,,point
291,93,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,判断顺序栈是否为空,,,point
292,94,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,求顺序栈的长度,,,point
293,95,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,清空顺序栈,,,point
294,,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,销毁顺序栈,,,point
295,94,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序栈的入栈,,,point
296,95,https://www.bilibili.com/video/BV1nJ411V7bd?p=55&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序栈的出栈,,,point
297,98,https://www.bilibili.com/video/BV1nJ411V7bd/?p=57&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,判断链栈是否为空,,,point
298,99,https://www.bilibili.com/video/BV1nJ411V7bd/?p=57&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,链栈的入栈,,,point
299,99,https://www.bilibili.com/video/BV1nJ411V7bd/?p=57&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,链栈的出栈,,,point
306,31,https://www.bilibili.com/video/BV1nJ411V7bd?p=17&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序表的初始化,,,point
307,50,https://www.bilibili.com/video/BV1nJ411V7bd?p=18&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序表中的查找,,,point
308,34,https://www.bilibili.com/video/BV1nJ411V7bd?p=19&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序表的插入,,,point
309,37,https://www.bilibili.com/video/BV1nJ411V7bd?p=20&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,顺序表的删除,,,point
310,39,,顺序表中的修改,,,point
311,43,https://www.bilibili.com/video/BV1nJ411V7bd?p=24&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,单链表的初始化,,,point
312,46,https://www.bilibili.com/video/BV1nJ411V7bd?p=24&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,判断单链表是否为空,,,point
313,48,https://www.bilibili.com/video/BV1nJ411V7bd?p=25&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,单链表的销毁,,,point
314,48,https://www.bilibili.com/video/BV1nJ411V7bd?p=26&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,单链表的清空,,,point
315,,https://www.bilibili.com/video/BV1nJ411V7bd?p=27&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,求单链表的表长,,,point
316,51,,单链表中按值查找,,,point
317,47,https://www.bilibili.com/video/BV1nJ411V7bd?p=30&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,单链表中的插入,,,point
318,48,https://www.bilibili.com/video/BV1nJ411V7bd?p=31&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,单链表中的删除,,,point
319,52,,单链表的创立,,,point
320,52,https://www.bilibili.com/video/BV1nJ411V7bd?p=33&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,头插法,,,point
321,53,https://www.bilibili.com/video/BV1nJ411V7bd?p=34&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,尾插法,,,point
